Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CPIA quality of budgetary and financial management rating (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA economic management cluster average (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA debt policy rating (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA business regulatory environment rating (1=low to 6=high),,,,,,,,,,,,,,,,
"Trademark applications, total",,,,,,,,,,,,,2659,2339,2562,4038
"Trademark applications, resident, by count",,,,,,,,,,,,,439,332,364,1608
"Trademark applications, direct resident",,,,,,,,,,,,,439,332,364,1608
"Net financial flows, IMF concessional (NFL, current US$)",,,,,,,,,,,,,,,,
"Net official flows from UN agencies, ILO (current US$)",,,,,,,,,,,,,540000,630000,490000,500000
"Net official flows from UN agencies, IFAD (current US$)",230000,,-120000,-280000,360000,-410000,-420000,-210000,-660000,-440000,-2130000,,,,,
"Net official flows from UN agencies, IAEA (current US$)",,,,,,,250000,360000,490000,390000,430000,240000,310000,440000,400000,210000
"Net official flows from UN agencies, FAO (current US$)",,,,,,,,,,,,,,490000,,
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",,,,,,,,,,,,,,,,
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",,,,,,,,,,,,,,,,
"Net financial flows, bilateral (NFL, current US$)",,,,,,,,,,,,,,,,
Present value of external debt (% of GNI),,,,,,,,,,,,,,,,
"Present value of external debt (% of exports of goods, services and primary income)",,,,,,,,,,,,,,,,
Present value of external debt (current US$),,,,,,,,,,,,,,,,
"IBRD loans and IDA credits (DOD, current US$)",,,,,,,,,,,,,,,,
"PPG, IDA (DOD, current US$)",,,,,,,,,,,,,,,,
"PPG, IBRD (DOD, current US$)",,,,,,,,,,,,,,,,
Short-term debt (% of total external debt),,,,,,,,,,,,,,,,
"Short-term debt (% of exports of goods, services and primary income)",,,,,,,,,,,,,,,,
Short-term debt (% of total reserves),,,,,,,,,,,,,,,,
"External debt stocks, short-term (DOD, current US$)",,,,,,,,,,,,,,,,
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",,,,,,,,,,,,,,,,
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",,,,,,,,,,,,,,,,
"External debt stocks, long-term (DOD, current US$)",,,,,,,,,,,,,,,,
"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,
External debt stocks (% of GNI),,,,,,,,,,,,,,,,
"External debt stocks, total (DOD, current US$)",,,,,,,,,,,,,,,,
"Net ODA provided, total (constant 2015 US$)",,,,,,,,,,,,,,,,
"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,
"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,
Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,
"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, United States (current US$)",9500000,13880000,17030000,29200000,34320000,28870000,50560000,58830000,70950000,90280000,117140000,114430000,138840000,160980000,149400000,62210000
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),87.1950652838144,86.6590457530393,79.1366647205225,81.4568532253242,86.7865985985216,84.5745349256246,83.6455240990237,79.2550220637259,69.7739024862209,71.7302788489746,75.2888598501889,80.0870368078219,74.9282761323888,68.2571984447463,62.1628624909509,71.5592901313631
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),0.222619231272843,0.231989615782532,0.380319547673193,0.515206193178558,0.894556733408709,0.53825547998061,0.733220557173155,0.819224760326565,3.46859749404222,2.09567555339819,1.1228464166751,1.23511194044956,0.53353628272943,0.694769885595787,1.77605003386969,1.90110343903052
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),0.0172650281874697,0.0990505118348083,1.10873195902119,0.770250078611598,0.0914444434628795,0.0722372287828569,0.0287431121057033,0.133670603684855,0.144108244965488,0.227886195467246,0.369981186913953,0.163797826359369,0.115197131226052,0.12839270511847,0.10205518025476,0.155705135996801
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),0.460553810051724,0.113088939938565,0.537592476277149,0.524933953669762,0.590537126921713,0.609900456644388,0.553557339470764,0.397642654124844,0.56320938382833,0.940777511114441,0.492668739354078,0.473367745848501,0.221876150161223,0.778585978831032,0.610540426959395,1.33005298291004
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),0.49274467222759,0.28103295292628,0.372369498013267,0.21284097298606,0.178033192516711,0.0932223512719202,0.202983645300751,0.189841935063869,0.309715488187472,0.1508651822823,0.649529963292444,0.124178914425613,0.214029581683981,0.660159170126191,1.18603600385685,2.2004024132978
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),0.568600985841245,2.07971142486672,1.23235563836063,1.8697853259926,1.30037567458771,2.1427870815383,3.93247619736384,2.8436509574331,3.79029891701207,5.79543477862591,4.08173279344512,4.41908838477503,4.21121538714385,7.35494177233354,5.62495025927819,6.63068761484341
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),1.76178372758087,2.8048734453489,3.63136911934543,3.89301652443857,3.05494717089772,3.45640259821808,5.45098085141421,4.38403091063323,8.27592952803557,9.21063922088809,6.71675909968069,6.41554481185807,5.29585453294454,9.61684951200502,9.29963190421889,12.2179515860786
Merchandise imports from high-income economies (% of total merchandise imports),10.8874964564043,9.55184465746649,16.2851526091937,12.1456254287876,9.97973992274523,11.7102585488873,10.6939328199046,16.0269795559705,21.5967662483341,18.6897204228652,16.6465238530765,12.3591133006574,17.0226729534706,18.0232629815615,25.7864724227917,15.2146598651473
Merchandise imports (current US$),1550000000,1547000000,1470000000,1980000000,2396000000,2577000000,2884000000,3520000000,4340000000,4980000000,5570000000,6593000000,7256000000,7621000000,8523000000,7697000000
Merchandise imports from economies in the Arab World (% of total merchandise imports),0.0623115973565269,0.213720334534643,1.26897653497759,0.996587530117675,0.288835663325115,0.356557460335415,0.537111521102527,0.94392812244399,1.1546189046308,1.26470122073241,1.35746039475272,1.0436955444562,0.294208879865098,0.496458781404564,0.403583769412051,1.43504608140622
Ores and metals imports (% of merchandise imports),0.858079891005283,1.82491072912619,2.2962539695931,3.58809661995895,1.02883829850902,1.02546303647777,0.923897178638583,0.780217415532449,1.02478569776001,1.55806497973895,2.45293271654858,3.65270712397081,7.1691591855664,8.98985330096243,6.29239396205902,8.69862228705325
Manufactures imports (% of merchandise imports),78.011552272161,73.7764907514048,70.9580836302811,68.4892309312051,75.4439112948937,77.6525717900905,78.2101840270046,72.2667354211009,70.2546524842477,74.3641802786501,72.5601384113327,72.2713350780993,66.9463767601744,67.2340408870013,75.0921859329628,63.1575682941877
Insurance and financial services (% of commercial service imports),6.4960255149035,6.07207348365531,5.88460863562354,8.50107064870996,5.05340717102754,5.25643870084401,5.35966842422273,6.09122953331384,3.190802780996,6.7054719864313,7.31383192430413,7.22410223423294,5.02572952508319,3.63754357761652,2.99285580973175,4.28313561177639
ICT goods imports (% total goods imports),6.907420954,4.8745626591,4.2191793441,5.4516154289,5.4638499061,4.8301339094,6.3004684876,4.7862371807,3.98747425,4.4205513456,3.5905383628,3.6223837084,3.1040939044,3.5133782628,3.0181968295,2.9796762166
Fuel imports (% of merchandise imports),3.11767185310182,10.3288377502908,12.126277391574,10.3815722415947,3.68679202992263,2.12555271701142,3.16151526627406,10.4688469197031,13.709436451994,7.80745799222504,9.2247936005741,9.09648836931807,12.0856093216472,10.0375940986657,6.37460764429399,14.8593290682912
Food imports (% of merchandise imports),16.8297285948771,13.0996298395229,12.4677542884303,14.8675639041569,18.5736237005115,17.90112611714,16.2066052336735,15.383173990926,13.9382774086256,14.7727407086337,14.8840266547988,14.0800676254676,12.9777587933645,13.0386875146741,11.3610394825165,12.2506620118712
Agricultural raw materials imports (% of merchandise imports),0.739093819242291,0.588156358072501,1.33118898685886,0.689069958165736,0.618280260892033,0.718678428976665,0.639973578377122,0.555806820507458,0.685210707271917,0.538950763082715,0.633470285868178,0.661055554338487,0.608577569291561,0.559566313887657,0.577087519514554,0.604866904473568
Import unit value index (2000 = 100),100,97.83472091,96.87334001,102.4145245,109.1792541,112.6017835,117.5610628,124.6689663,137.5024941,130.8860938,139.4628069,154.669014,153.4487392,148.1296863,146.887867,131.1644169
"Tariff rate, most favored nation, weighted mean, primary products (%)",,8.48,8.22,,9.98,11,10.96,7.67,8.03,9.04,8.34,7.8,6.62,6.13,5.6,7.81
"Tariff rate, applied, weighted mean, primary products (%)",,1.18,0.97,,1.01,1.17,1.02,0.69,2.03,1.66,1.43,0.84,0.42,0.66,0.5,1.16
"Share of tariff lines with specific rates, primary products (%)",,4.355717,3.571429,,2.034953,3.657363,4.311008,3.288978,4.490291,3.978521,5.225547,3.908935,3.22995,4.455977,0,4.702628
"Tariff rate, most favored nation, simple mean, primary products (%)",,6.8,6.81,,6.05,6.51,6.47,6.52,6.33,6.25,6.24,6.19,6.2,6.15,6.02,6.17
"Tariff rate, applied, simple mean, primary products (%)",,5.17,5.39,,4.84,5.95,6.12,6.24,5.78,5.45,5,4.76,4.96,5.02,4.34,5.3
"Share of tariff lines with international peaks, primary products (%)",,17.82214,15.56677,,15.41776,13.76323,13.85681,15.46573,15.65534,15.0598,11.70165,14.02491,13.87411,15.65855,15.63109,18.57999
"Bound rate, simple mean, primary products (%)",,26.48,26.38,,26.38,26.38,26.38,26.7,26.7,26.7,26.7,26.7,26.88,26.88,26.88,26.88
"Binding coverage, primary products (%)",,87.18,86.69,,86.69,86.69,86.69,85.59,85.59,85.59,85.59,85.59,80.03,80.03,80.03,80.03
"Tariff rate, most favored nation, weighted mean, all products (%)",,10.88,9.19,,10.81,11.19,10.73,9.53,9.23,9.84,9.55,9.4,8.19,7.72,7.55,7.61
"Tariff rate, applied, weighted mean, all products (%)",,0.74,1.11,,0.88,0.96,0.97,1.15,1.75,1.77,1.33,1.07,0.61,0.75,0.7,0.9
"Share of tariff lines with specific rates, all products (%)",,0.7623888,0.6719391,,0.3513343,0.6392074,0.6733216,0.6073971,0.7902046,0.7194513,0.8213354,0.6864404,0.5291157,0.7032426,0,0.7663643
"Tariff rate, most favored nation, simple mean, all products (%)",,8.48,7.56,,7.97,8.07,8.03,7.84,7.79,7.76,7.69,7.67,7.6,7.59,7.56,7.6
"Tariff rate, applied, simple mean, all products (%)",,6.06,5.34,,6.9,6.57,6.41,6.71,6.4,6.52,6.66,6.38,6.5,6.76,6.66,6.89
"Share of tariff lines with international peaks, all products (%)",,19.22309,16.32871,,19.03916,16.82314,17.15013,17.85825,25.15745,26.21338,16.96782,24.40216,17.156,25.69982,25.65736,26.45715
"Bound rate, simple mean, all products (%)",,19.12,19,,19,19,19,19.03,19.03,19.03,19.03,19.03,19.18,19.18,19.18,19.18
"Binding coverage, all products (%)",,96.6,96.3,,96.3,96.3,96.3,96.02,96.02,96.02,96.02,96.02,94.29,94.29,94.29,94.29
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",,11.72,9.49,,11.08,11.24,10.66,10.22,9.74,10.14,10.01,10.01,8.97,8.48,8.49,7.54
"Tariff rate, applied, weighted mean, manufactured products (%)",,0.57,1.17,,0.84,0.9,0.89,1.33,1.63,1.8,1.29,1.14,0.69,0.79,0.79,0.8
"Share of tariff lines with specific rates, manufactured products (%)",,0.0437031,0.1479394,,0.0189654,0.0384098,0.0185228,0.1201479,0.0798047,0.1332859,0.0796934,0.1248156,0.0275311,0.0260731,0,0.0587084
"Tariff rate, most favored nation, simple mean, manufactured products (%)",,8.98,7.79,,8.55,8.53,8.5,8.25,8.24,8.23,8.13,8.13,8.1,8.11,8.11,8.12
"Tariff rate, applied, simple mean, manufactured products (%)",,6.24,5.32,,7.31,6.7,6.46,6.78,6.5,6.71,6.92,6.64,6.77,7.04,7.04,7.15
"Share of tariff lines with international peaks, manufactured products (%)",,19.56443,16.5199,,19.81414,17.47167,17.78652,18.48429,26.74866,27.8301,18.00311,25.85196,17.92966,27.08992,27.05138,27.41683
"Bound rate, simple mean, manufactured products (%)",,17.28,17.17,,17.17,17.17,17.17,17.11,17.11,17.11,17.11,17.11,17.13,17.13,17.13,17.13
Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),,,,,,,,,,1,1,1,1,1,1,1
Law prohibits or invalidates child or early marriage (1=yes; 0=no),,,,,,,,,,,,,,,,0
Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),,,,,,,,,,1,,1,,1,,1
Proportion of seats held by women in national parliaments (%),25,25,25,26.4,25,26.9,26.9,26.9,26.9,26.9,24.4,24.4,24.4,24.4,,41.3
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",,,,,,,,67.1,,,,,,71.2,,
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",,,,,,,,65.5,,,,,,74.6,,
"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,,,,,
"Government expenditure on education, total (% of government expenditure)",,,,,,,,,,,,,,,,
Expenditure on tertiary education (% of government expenditure on education),,,,,,,,,,,,,,,,
"Government expenditure per student, tertiary (% of GDP per capita)",,,,,,,,,,,,,,,,
Expenditure on secondary education (% of government expenditure on education),,,,,,,,,,,,,,,,
"Government expenditure per student, secondary (% of GDP per capita)",,,,,,,,,,,,,,,,
Expenditure on primary education (% of government expenditure on education),,,,,,,,,,,,,,,,
"Government expenditure per student, primary (% of GDP per capita)",,,,,,,,,,,,,,,,
"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",,,,,,,,,,,,,,,,
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",,,,,,,,,,,,,,,,
"Current education expenditure, primary (% of total expenditure in primary public institutions)",,,,,,,,,,,,,,,,
"Tertiary education, academic staff (% female)",,,,,,,,,,,,,,,,
"School enrollment, tertiary, male (% gross)",,,,,,,,,,,,,,,,
"School enrollment, tertiary, female (% gross)",,,,,,,,,,,,,,,,
"School enrollment, tertiary (% gross)",,,,,,,,,,,,,,,,
"Pupil-teacher ratio, tertiary",,,,,,,,,,,,,,,,
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",,2.29772,,,,,,,,,,,,,,
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",,2.60117,,,,,,,,,,,,,,
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",,2.0379,,,,,,,,,,,,,,
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",,,,,,,,,,,,,,,,
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",,,,,,,,,,,,,,,,
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",,,,,,,,,,,,,,,,
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",,,,,,,,,,,,,,,,
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",,,,,,,,,,,,,,,,
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",,,,,,,,,,,,,,,,
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",,,,,,,,,,,,,,,,
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",,,,,,,,,,,,,,,,
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",,,,,,,,,,,,,,,,
Adolescents out of school (% of lower secondary school age),,,,,,,,,,,,,,,,
"Adolescents out of school, male (% of male lower secondary school age)",,,,,,,,,,,,,,,,
"Adolescents out of school, female (% of female lower secondary school age)",,,,,,,,,,,,,,,,
"Secondary education, teachers (% female)",,,,,,,,,,,,,,,,
"Secondary education, teachers, female",,,,,,,,,,,,,,,,
"Secondary education, teachers",,,,,,,,,,,,,,,,
Trained teachers in secondary education (% of total teachers),,,,,,,,,,,,,,,,
Trained teachers in upper secondary education (% of total teachers),,,,,,,,,,,,,,,,
"Trained teachers in upper secondary education, male (% of male teachers)",,,,,,,,,,,,,,,,
"Trained teachers in upper secondary education, female (% of female teachers)",,,,,,,,,,,,,,,,
"Trained teachers in secondary education, male (% of male teachers)",,,,,,,,,,,,,,,,
Trained teachers in lower secondary education (% of total teachers),,,,,,,,,,,,,,,,
"Trained teachers in lower secondary education, male (% of male teachers)",,,,,,,,,,,,,,,,
"Trained teachers in lower secondary education, female (% of female teachers)",,,,,,,,,,,,,,,,
"Trained teachers in secondary education, female (% of female teachers)",,,,,,,,,,,,,,,,
Progression to secondary school (%),,,,,,,,,,,,,,,,
"Progression to secondary school, male (%)",,,,,,,,,,,,,,,,
"Progression to secondary school, female (%)",,,,,,,,,,,,,,,,
"School enrollment, secondary, private (% of total secondary)",,,,,,,,,,,,,,,,
"School enrollment, secondary, male (% net)",,,,,,,,,,,,,,,,
"School enrollment, secondary, female (% net)",,,,,,,,,,,,,,,,
"School enrollment, secondary (% net)",,,,,,,,,,,,,,,,
"School enrollment, secondary, male (% gross)",,,,,,,,,,,,,,,,
"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,
"School enrollment, secondary (% gross)",,,,,,,,,,,,,,,,
"Secondary education, vocational pupils (% female)",,,,,,,,,,,,,,,,
"Secondary education, vocational pupils",,,,,,,,,,,,,,,,
"Pupil-teacher ratio, upper secondary",,,,,,,,,,,,,,,,
"Pupil-teacher ratio, secondary",,,,,,,,,,,,,,,,
"Pupil-teacher ratio, lower secondary",,,,,,,,,,,,,,,,
"Secondary education, general pupils (% female)",,,,,,,,,,,,,,,,
"Secondary education, general pupils",,,,,,,,,,,,,,,,
"Secondary education, pupils (% female)",,,,,,,,,,,,,,,,
"Secondary education, pupils",,,,,,,,,,,,,,,,
"Secondary education, duration (years)",,,,,,,,,,,,,,,,
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",,17.55071,,,,,,,,,,,,,,
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",,19.01574,,,,,,,,,,,,,,
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",,16.29633,,,,,,,,,,,,,,
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",,5.48443,,,,,,,,,,,,,,
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",,5.95395,,,,,,,,,,,,,,
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",,5.08242,,,,,,,,,,,,,,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",,28.51309,,,,,,,,,,,,,,
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",,30.0079,,,,,,,,,,,,,,
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",,27.2332,,,,,,,,,,,,,,
"Lower secondary completion rate, total (% of relevant age group)",,,,,,,,,,,,,,,,
"Lower secondary completion rate, male (% of relevant age group)",,,,,,,,,,,,,,,,
"Lower secondary completion rate, female (% of relevant age group)",,,,,,,,,,,,,,,,
Lower secondary school starting age (years),,,,,,,,,,,,,,,,
"Trademark applications, direct nonresident",,,,,,,,,,,,,2220,2007,2198,2430
"Trademark applications, nonresident, by count",,,,,,,,,,,,,3861,3372,3579,3890
"Patent applications, residents",,,,,,,,,,,,,,,,13
"Patent applications, nonresidents",,,,,,,,,,,,,,,,11
Scientific and technical journal articles,,,,39.9,31,50.3,34.7,38.3,36,33.2,39,46.9,66,86.1,94.8,99.4
"Industrial design applications, resident, by count",,,,,,,,,,,,,,,,
"Industrial design applications, nonresident, by count",,,,,,,,,,,,,,,,
Public private partnerships investment in water and sanitation (current US$),,,,,,,,,,,,,,,,
Public private partnerships investment in transport (current US$),,,,,,,,,,,,,,,,
Public private partnerships investment in ICT (current US$),,,,,,,,,,,,,,,,
Public private partnerships investment in energy (current US$),1000000,,,,,,,,,,,,,,,
Investment in water and sanitation with private participation (current US$),,,,,,,,,,,,,,,,
Investment in transport with private participation (current US$),,,,,,,,,,,,,,,,
Investment in ICT with private participation (current US$),,,,,,,,,,,,,,,,
Investment in energy with private participation (current US$),1000000,,,,,,,,,,,,,,,
Procedures to build a warehouse (number),,,,,,12,12,12,12,12,12,12,12,12,12,12
Time required to build a warehouse (days),,,,,,145,145,145,145,145,145,145,145,145,145,160
Total tax and contribution rate (% of profit),,,,,,25.8,25.8,25.8,22.8,22.3,22.3,21.8,21.8,21.2,20.7,21.3
Profit tax (% of commercial profits),,,,,,18.9,18.9,18.9,18,18.2,18.2,17.7,17.7,18,17.5,17.2
Tax payments (number),,,,,,37,37,37,37,37,37,37,26,26,26,27
Other taxes payable by businesses (% of commercial profits),,,,,,5.9,5.9,6,3.8,3.1,3.1,3.1,3.1,2.2,2.2,2.2
Average number of visits or required meetings with tax officials (for affected firms),,,,,,,1.4,,,,,,,,2,
Labor tax and contributions (% of commercial profits),,,,,,1,1,1,1,1,1,1,1,1,1,1.9
Firms expected to give gifts in meetings with tax officials (% of firms),,,,,,,2.6,,,,,,,,5.3,
Time to prepare and pay taxes (hours),,,,,,339,339,339,339,339,339,339,314,314,314,302
"Start-up procedures to register a business, male (number)",,,,10,10,10,10,10,10,10,10,10,10,10,10,10
"Start-up procedures to register a business, female (number)",,,,10,10,10,10,10,10,10,10,10,10,10,10,10
Start-up procedures to register a business (number),,,,10,10,10,10,10,10,10,10,10,10,10,10,10
"Time required to start a business, male (days)",,,,86,85,95,95,99,66,66,66,66,66,66,66,66
"Time required to start a business, female (days)",,,,86,85,95,95,99,66,66,66,66,66,66,66,66
Time required to start a business (days),,,,86,85,95,95,99,66,66,66,66,66,66,66,66
Cost of business start-up procedures (% of GNI per capita),,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cost of business start-up procedures, male (% of GNI per capita)",,,,22.2,19.3,18.8,18,22.3,22.1,20.4,18.5,17.2,18.5,14.7,13.1,11.1
"Cost of business start-up procedures, female (% of GNI per capita)",,,,22.2,19.3,18.8,18,22.3,22.1,20.4,18.5,17.2,18.5,14.7,13.1,11.1
Procedures to register property (number),,,,,7,7,7,7,7,7,7,7,8,8,8,8
Time required to register property (days),,,,,32,32,32,32,32,32,32,32,52,52,52,52
Time required to enforce a contract (days),,,,500,500,500,500,500,500,500,500,500,500,460,460,460
Strength of legal rights index (0=weak to 12=strong),,,,,,,,,,,,,,5,5,5
Time to resolve insolvency (years),,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
"Time to import, documentary compliance (hours)",,,,,,,,,,,,,,,3.3,3.3
"Time to import, border compliance (hours)",,,,,,,,,,,,,,,5.5,5.5
"Cost to import, documentary compliance (US$)",,,,,,,,,,,,,,,62.5,62.5
"Cost to import, border compliance (US$)",,,,,,,,,,,,,,,145,145
Time spent dealing with the requirements of government regulations (% of senior management time),,,,,,,2.9,,,,,,,,3.1,
Firms offering formal training (% of firms),,,,,,,44.5,,,,,,,,25.4,
Firms experiencing losses due to theft and vandalism (% of firms),,,,,,,44.1,,,,,,,,28.2,
Firms that spend on R&D (% of firms),,,,,,,,,,,,,,,42.2,
Value lost due to electrical outages (% of sales for affected firms),,,,,,,0.7,,,,,,,,4.8,
Firms visited or required meetings with tax officials (% of firms),,,,,,,23.5,,,,,,,,35.9,
Firms that do not report all sales for tax purposes (% of firms),,,,,,,45.48,,,,,,,,,
"Net bilateral aid flows from DAC donors, Total (current US$)",143060000,104790000,123570000,135880000,140610000,95250000,113100000,173280000,180280000,281730000,224270000,257050000,207970000,231050000,200150000,126910000
"Net bilateral aid flows from DAC donors, Sweden (current US$)",21060000,8560000,9420000,9840000,9820000,5350000,8970000,4110000,2270000,2510000,3250000,4860000,5080000,5170000,1830000,1080000
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",,,,,,,,,,,,,10000,10000,10000,
"Net bilateral aid flows from DAC donors, Portugal (current US$)",20000,210000,880000,90000,80000,90000,100000,70000,80000,60000,,110000,100000,360000,360000,350000
"Net bilateral aid flows from DAC donors, Poland (current US$)",,,,,,,,,,20000,30000,,,10000,20000,
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",280000,160000,100000,90000,320000,90000,,40000,30000,,,,110000,30000,20000,30000
"Net bilateral aid flows from DAC donors, Norway (current US$)",7160000,3710000,3410000,3810000,2720000,1630000,1700000,1670000,10280000,-6730000,-2980000,2330000,2260000,1980000,1490000,1410000
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",3150000,4960000,4780000,2940000,4150000,3240000,940000,1010000,300000,1930000,1560000,1810000,650000,1100000,120000,
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",4200000,3770000,4350000,5920000,7210000,5110000,7480000,7860000,5870000,9990000,12460000,6970000,,200000,,110000
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",,10000,250000,20000,10000,10000,30000,,,60000,80000,60000,10000,10000,20000,20000
"Net bilateral aid flows from DAC donors, Japan (current US$)",5430000,3210000,3150000,820000,1200000,390000,1010000,5740000,9660000,39820000,40590000,25260000,-6660000,-4330000,-3560000,-3850000
"Net bilateral aid flows from DAC donors, Italy (current US$)",20000,220000,30000,20000,660000,10000,330000,680000,580000,910000,10000,540000,10000,370000,200000,20000
"Net bilateral aid flows from DAC donors, Iceland (current US$)",1050000,970000,1180000,1000000,1270000,1360000,2020000,1560000,2640000,2350000,2040000,520000,,20000,80000,
"Net bilateral aid flows from DAC donors, Ireland (current US$)",310000,200000,280000,160000,50000,70000,1290000,,,,,,10000,,30000,
"Net bilateral aid flows from DAC donors, Greece (current US$)",70000,,,,,,,10000,,20000,20000,20000,60000,,,
"Binding coverage, manufactured products (%)",,99.54,99.43,,99.43,99.43,99.43,99.43,99.43,99.43,99.43,99.43,99.45,99.45,99.45,99.45
Import volume index (2000 = 100),100,102.0318258,97.91549327,124.750413,141.5850016,147.7022837,158.3029216,182.1892131,203.6655192,245.5128293,257.7123009,275.0393672,305.1204296,329.9536781,374.4210331,378.650266
Merchandise trade (% of GDP),74.8566696330999,78.4132687609108,77.602447318069,67.3733172410104,65.1653106398693,65.2540968881187,70.5930976957027,73.6997946726911,88.1494654030252,91.5482766137476,85.0543891239319,88.6408389745468,89.4649343206436,96.321762775266,102.728921187073,100.972849524406
"International tourism, expenditures (% of total imports)",5.27598984242856,4.3800484501109,4.2919741545706,5.04407795502872,4.86074209969459,4.00748622919357,3.96874787867478,3.65251778043225,2.43341386099265,0.790795623066377,0.715621715289912,0.879762311860558,0.754137329795417,0.683183274517672,0.877209477003598,1.0239417032334
"International tourism, expenditures (current US$)",86000000,71000000,65000000,101000000,123000000,108000000,118000000,132000000,114000000,40000000,42000000,55000000,53000000,47000000,67000000,72000000
"International tourism, expenditures for travel items (current US$)",86000000,71000000,65000000,101000000,123000000,108000000,118000000,132000000,114000000,35000000,35000000,46000000,48000000,41000000,50000000,63000000
"International tourism, receipts for travel items (current US$)",160000000,236000000,218000000,333000000,405000000,349000000,381000000,434000000,382000000,399000000,321000000,266000000,512000000,247000000,452000000,465000000
"International tourism, expenditures for passenger transport items (current US$)",,,,,,,,,,5000000,7000000,9000000,5000000,6000000,17000000,9000000
"International tourism, receipts for passenger transport items (current US$)",33000000,28000000,33000000,50000000,21000000,14000000,92000000,108000000,102000000,113000000,152000000,254000000,123000000,114000000,100000000,75000000
"International tourism, receipts (% of total exports)",13.0116582785279,18.5003395079984,18.7676169342018,22.8453669564848,18.4990751403333,14.6222387842032,14.9101416485911,15.3944244424179,13.0983765060979,13.8729021614044,10.2622029090802,11.0369390999724,12.4882788602183,8.206207204901,11.4447705372775,13.2079350205468
