Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Public private partnerships investment in ICT (current US$),IE.PPN.ICTI.CD,,,,,,,,,,,,,,,,,,,,
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,,,,45000000,,,9400000,,,120000000,,,,,,,,,,
Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,,,,,,,,,,,,,,,,,,,,
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,,,,,,,,53000000,,,,,,,,,,,,
Investment in ICT with private participation (current US$),IE.PPI.ICTI.CD,,,,,,,,,,,,,,,,,,,,
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,,,,45000000,,,9400000,,,120000000,,,,,,,,,,
Procedures to build a warehouse (number),IC.WRH.PROC,,,,,,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12
Time required to build a warehouse (days),IC.WRH.DURS,,,,,,373,293,293,283,275,214,214,214,214,214,214,214,184,184,184
Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,,,,,,52.2,52.2,52.2,52.2,52.2,52.2,52.3,52.3,52.6,52.6,49,48,49.1,49.1,49.1
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,,,,,,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.3,25.3,21.7,20.4,21.5,21.5,21.5
Tax payments (number),IC.TAX.PAYM,,,,,,32,32,32,32,32,32,32,32,32,32,32,31,31,31,31
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,,,,,,18,18,18,18,18,18,18,18,18.3,18.3,18.3,18.6,18.6,18.6,18.6
Average number of visits or required meetings with tax officials (for affected firms),IC.TAX.METG,,,,,,,4.8,,,,3.7,,,,,,,,,
Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,,,,,,,14.8,,,,34.2,,,,,,,,,
Time to prepare and pay taxes (hours),IC.TAX.DURS,,,,,,284,284,284,284,284,294,294,294,294,294,294,287,287,287,287
"Start-up procedures to register a business, male (number)",IC.REG.PROC.MA,,,,12,12,12,12,12,8,8,8,8,8,8,8,8,7,8,8,8
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,,,,12,12,12,12,12,8,8,8,8,8,8,8,8,7,8,8,8
Start-up procedures to register a business (number),IC.REG.PROC,,,,12,12,12,12,12,8,8,8,8,8,8,8,8,7,8,8,8
"Time required to start a business, male (days)",IC.REG.DURS.MA,,,,83,83,83,83,83,68,68,66,66,66,66,66,36,36,36,36,36
"Time required to start a business, female (days)",IC.REG.DURS.FE,,,,83,83,83,83,83,68,68,66,66,66,66,66,36,36,36,36,36
Time required to start a business (days),IC.REG.DURS,,,,83,83,83,83,83,68,68,66,66,66,66,66,36,36,36,36,36
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,949.8,495.6,100.1,74.1,50.5,39.1,29,28.7,25.3,24.6,21.8,20,18.9,0,0,0,0
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,,,,1316.4,910,653.8,498.2,343.7,196.8,151.1,226.6,163.1,143.1,130.1,118.8,17,20.7,17.4,13.9,11.1
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,,,,1316.4,910,653.8,498.2,343.7,196.8,151.1,226.6,163.1,143.1,130.1,118.8,17,20.7,17.4,13.9,11.1
Procedures to register property (number),IC.PRP.PROC,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Time required to register property (days),IC.PRP.DURS,,,,,335,335,335,335,335,190,190,190,190,190,190,190,190,190,190,190
Time required to enforce a contract (days),IC.LGL.DURS,,,,1011,1011,1011,1011,1011,1190,1250,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,1,1,1,1,1,1,1
Time to resolve insolvency (years),IC.ISV.DURS,,,,,,,,,,,,,,,,,,,,
"Time to import, documentary compliance (hours)",IC.IMP.TMDC,,,,,,,,,,,,,,,180,180,180,180,96,96
"Time to import, border compliance (hours)",IC.IMP.TMBC,,,,,,,,,,,,,,,276,276,276,96,72,72
"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,,,,,,,,,,,,,,,460,460,460,460,460,460
"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,,,,,,,,,,,,,,,1030,1030,1030,1030,1030,1030
Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS,,,,,,,7.1,,,,12.2,,,,,,,,,
Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,,,,,,,19.4,,,,23.5,,,,,,,,,
Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,,,,,,,18,,,,12.5,,,,,,,,,
Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS,,,,,,,,,,,,,,,,,,,,
Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,3.7,,,,12.6,,,,,,,,,
Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS,,,,,,,68.6,,,,66.9,,,,,,,,,
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS,,,,,,,67.8,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,234520000,240930000,348780000,439780000,1092380000,318520000,96590000,169870000,268000000,180000000,175950000,146220000,159470000,176880000,154490000,306360000,108370000,106460000,,
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,17120000,13370000,14120000,13960000,17300000,11150000,7200000,6650000,4960000,1940000,1180000,1400000,1340000,1200000,1450000,1220000,1440000,1050000,,
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",DC.DAC.SVKL.CD,,,,,,20000,,,,,,,,,,,10000,10000,,
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,13350000,11870000,14440000,19490000,715480000,20930000,20080000,19130000,19110000,-9850000,-12800000,-7490000,1540000,-9680000,-23020000,-19400000,-22720000,-23210000,,
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,,,,,,180000,92350000,490000,6870000,7330000,1370000,-100000,-240000,40440000,14450000,13840000,4330000,-1970000,,
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD,,,,380000,,,80000,110000,,,,,,,,,40000,,,
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,16590000,17470000,22200000,24230000,24760000,20910000,23390000,21410000,17790000,17840000,13220000,13050000,12130000,9990000,12190000,6600000,7780000,7690000,,
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,11650000,20490000,27670000,21080000,19550000,12800000,2110000,-49290000,-2670000,-3270000,-2720000,-2960000,-2740000,-3080000,-2620000,-1500000,-1220000,-320000,,
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,480000,440000,700000,110000,230000,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,8610000,1040000,,,,20000,10090000,17410000,25920000,28340000,18830000,16750000,7980000,10280000,5380000,13140000,10940000,13790000,,
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,21470000,20710000,27210000,33100000,25470000,26300000,12410000,23100000,17750000,6760000,37620000,11520000,13790000,15170000,8000000,197300000,4540000,3710000,,
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,7230000,11890000,7070000,28070000,8410000,11550000,-31360000,-30600000,32010000,1450000,230000,-600000,1350000,1330000,1670000,1930000,1870000,2600000,,
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,1670000,1930000,3230000,6510000,4090000,3550000,2900000,3010000,3460000,2410000,1170000,1140000,570000,740000,600000,680000,560000,460000,,
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,,,,,40000,370000,30000,80000,20000,20000,120000,30000,20000,10000,10000,,,,,
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,100,,100,99.95,99.95,,99.97,99.97,99.95,99.95,99.95,99.95,100,100,100,,,
Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,100,108.3460932,127.3128017,176.6097611,177.6401194,248.4915962,248.7734322,358.4039099,503.0605234,579.6457454,407.3032061,439.6055665,517.6135858,598.4824784,652.0597983,512.4865673,332.3101709,361.7032876,371.8462397,
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,120.06009267421,108.694390515385,79.0809918468255,84.1421881311598,81.9758705776817,87.804147535713,77.58537380498,88.9538164685344,95.8858500765238,90.3008977727419,80.2653986241368,78.3059714796182,74.0397400781428,69.1815484569558,60.221450099446,46.3657010568937,40.1784540065196,40.1862626490206,54.4354254237326,
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.54400607773507,1.19450943737112,0.734243795836534,0.556738775052417,0.808687735251078,0.891429156256578,2.41269816562604,1.79815707274069,1.03660512923927,0.645479784351919,0.776370722604321,0.735791047875332,0.628160033280797,0.639765830697099,0.943256700156265,1.02452634658014,3.20769786123003,4.30342893395539,,
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,146000000,80000000,52000000,49000000,86000000,135000000,393000000,473000000,447000000,270000000,275000000,323000000,288000000,316000000,505000000,389000000,823000000,1216000000,,
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,136000000,66000000,19000000,12000000,39000000,74000000,148000000,212000000,254000000,133000000,148000000,180000000,159000000,166000000,113000000,146000000,594000000,977000000,,
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,18000000,22000000,37000000,49000000,66000000,88000000,75000000,225000000,285000000,534000000,719000000,646000000,706000000,1234000000,1589000000,1163000000,623000000,880000000,,
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,10000000,14000000,33000000,37000000,47000000,61000000,245000000,261000000,193000000,137000000,127000000,143000000,129000000,150000000,392000000,243000000,229000000,239000000,,
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,16000000,13000000,14000000,14000000,16000000,15000000,16000000,11000000,8000000,20000000,7000000,7000000,5000000,7000000,8000000,8000000,5000000,4000000,,
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,0.415242324428828,0.519532954717508,0.597561939553467,0.648865066910913,0.59429894432281,0.4241085211113,0.272892458912399,0.527882654597269,0.456078040771251,1.33651307818098,1.41103125777036,0.959693701971326,0.989241065215912,1.78401431973214,2.62443332071088,3.40038336206843,2.21909952571216,2.48328311495863,,
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,34000000,35000000,51000000,63000000,82000000,103000000,91000000,236000000,293000000,554000000,726000000,653000000,711000000,1241000000,1597000000,1171000000,628000000,884000000,,
"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,51000,67000,91000,107000,194000,210000,121000,195000,294000,366000,425000,481000,528000,650000,595000,592000,397000,261000,,
Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,,,,,,,,,,,,,,,,,38,,,
Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.087,51.274,52.461,53.645,54.827,56,56.764,57.524,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,
Urban population,SP.URB.TOTL,8212001,8688765,9190861,9721267,10284528,10882817,11437890,12025601,12644649,13291081,13963065,14660282,15383127,16130304,16900847,17691524,18502165,19332881,20184707,
Urban population growth (annual %),SP.URB.GROW,5.68175290363695,5.643419087168,5.61788089698655,5.610633900055,5.63246702042183,5.65444933801464,4.97464050248048,5.01062655719254,5.01963277766655,4.98590870406346,4.93224203391033,4.87263031805783,4.81293271165339,4.74284794223048,4.66640001876355,4.57219158120625,4.48020974357746,4.39195727887042,4.31179134171658,
Rural population (% of total population),SP.RUR.TOTL.ZS,49.913,48.726,47.539,46.355,45.173,44,43.236,42.476,41.718,40.966,40.217,39.472,38.732,37.998,37.269,36.554,35.851,35.161,34.486,
Rural population growth (annual %),SP.RUR.TOTL.ZG,0.921027596203736,0.894336168285637,0.863021969038768,0.856685181374867,0.870051048351724,0.906563749007475,1.8679556656502,1.90721065869773,1.90988367251192,1.88484573683856,1.82619515590163,1.76433701333347,1.70523644308075,1.63868741717953,1.56033294089657,1.50172422115888,1.43635388161136,1.37868797147526,1.33772918846896,
Rural population,SP.RUR.TOTL,8183472,8256988,8328556,8400212,8473617,8550785,8712011,8879762,9050985,9223200,9393181,9560379,9724804,9885476,10040932,10192857,10340319,10483867,10625055,
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,,,,,,,,,,,,,,,,,,,,
Completeness of birth registration (%),SP.REG.BRTH.ZS,,35.6,,,,,,,,,,,,,,,25,,,
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,,39.9,,,,,,,,,,,,,,,32.9,,,
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,,25.8,,,,,,,,,,,,,,,13.6,,,
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,,,,,,,,,,,,,,,,,24.8,,,
"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,,,,,,,,,,,,,,,,,25.2,,,
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.7394433842943,49.7113229491779,49.6858000648195,49.6606430038788,49.6331352290936,49.6020707224455,49.5668838140924,49.5295943241351,49.4944236711936,49.4664385151198,49.4483424498808,49.4405354767376,49.440772186471,49.4461362804875,49.4528997776056,49.4586718442368,49.4629935107526,49.4665233513396,49.4695370662576,
"Population, male",SP.POP.TOTL.MA.IN,8155017,8423958,8704663,8999243,9310255,9639469,9987678,10354341,10738129,11137013,11549277,11974824,12413555,12863798,13323491,13791244,14266356,14749309,15241447,
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.2605566157057,50.2886770508221,50.3141999351805,50.3393569961212,50.3668647709064,50.3979292775545,50.4331161859076,50.4704056758649,50.5055763288064,50.5335614848801,50.5516575501192,50.5594645232624,50.559227813529,50.5538637195125,50.5471002223944,50.5413281557632,50.5370064892474,50.5334766486604,50.5304629337424,
"Population, female",SP.POP.TOTL.FE.IN,8240456,8521795,8814754,9122236,9447890,9794133,10162223,10551022,10957505,11377268,11806969,12245837,12694376,13151982,13618288,14093137,14576128,15067439,15568315,
"Population, total",SP.POP.TOTL,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,
Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,35.42737,,,,,,,,
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,47.48423,,,,,,,,
Population growth (annual %),SP.POP.GROW,3.27720355508788,3.3011981819287,3.32925667399073,3.37881111015826,3.45301382916021,3.53755715435985,3.6195745593604,3.68063536954353,3.71053132219744,3.70387768309131,3.67146240136924,3.63415862558996,3.59777430762499,3.55195046716591,3.49749274416236,3.43885068439195,3.37827278015957,3.32208099815609,3.27613387502724,
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,93.9612687492753,93.9146685697801,93.6995513735758,93.3744334612638,93.013187124629,92.675173164801,92.8730629887138,92.978293255898,93.0291954129271,93.0314374518633,92.9719699430693,93.3406630056452,93.5167638469585,93.5283379396114,93.3835096670823,93.0728356211535,92.8337202956647,92.4130335337176,91.8277557270262,
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.10991702874641,5.12473443016065,5.12348376786275,5.10351171050258,5.0602525918403,4.99382284451043,4.95298981922242,4.88835233564718,4.81158985753418,4.73538191692105,4.66574437832991,4.6476362215512,4.62868342373987,4.60214018672371,4.5586959070841,4.49640300513132,4.46086782715692,4.40719429304328,4.34798471638409,
Age dependency ratio (% of working-age population),SP.POP.DPND,99.0711857780217,99.0394029999408,98.8230351414386,98.4779451717664,98.0734397164693,97.6689960093114,97.8260528079362,97.8666455915452,97.8407852704613,97.7668193687844,97.6377143213992,97.9882992271964,98.1454472706984,98.1304781263351,97.9422055741664,97.5692386262848,97.2945881228216,96.8202278267608,96.1757404434103,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,,,1.02,,,,,1.02,1.022,1.024,1.026,1.028,1.03,1.03,1.03,1.03,1.03,1.03,,
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.198662933832527,0.206280705578067,0.208911017003185,0.206806306575598,0.200574592395566,0.189834088388677,0.200537061659965,0.206918065275044,0.208257862402485,0.20425589992287,0.19468751160787,0.205322433131376,0.211438273267796,0.212169015985244,0.206965323194647,0.195798145548001,0.204221751106011,0.208335042451791,0.2075326253215,
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.263711070428367,0.270670674429507,0.271136293634934,0.267291952027107,0.261402392027169,0.253416994294748,0.269104453011029,0.280939662705596,0.287355535100779,0.287388928710019,0.280927282782966,0.295512695090805,0.303945693103551,0.306904242971688,0.305633198306542,0.30057185285092,0.318212101198075,0.331210656083146,0.337248804110499,
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.338184374555105,0.345751961251469,0.352075663354227,0.355974425401606,0.356735779010063,0.354884656521572,0.358271390352915,0.358777092504206,0.356402837365538,0.351153496315438,0.343779095436017,0.341591659301214,0.33713154784384,0.331262898112308,0.324689750912073,0.31812213604516,0.316962531774935,0.313844998538577,0.310219644982806,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,0.401118481521294,0.417353386229075,0.436121026619571,0.452641266093233,0.462865449477269,0.466840661971748,0.470576079549508,0.468864621619521,0.465169720189978,0.463309943119019,0.464988053666605,0.47229115268243,0.480598766083209,0.486101527640124,0.484576435285354,0.475855764110983,0.464451222193659,0.447912553219025,0.431690545060459,
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,0.685823049584557,0.686078919196891,0.68397823097804,0.679735026572238,0.673150415262659,0.664663098697335,0.653525142976147,0.640803759582938,0.62796781190021,0.616161788487215,0.606289034369857,0.596660126278265,0.586802230336651,0.578615916088876,0.574173970059492,0.574277418338766,0.576790637832859,0.581898052377876,0.586794217010327,
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.850098380454096,0.850525036098616,0.844232199306731,0.836965940912507,0.834493557606432,0.838450852316294,0.839511032278856,0.844761928230636,0.848678522284177,0.844271448366545,0.829848809643795,0.801733748516639,0.76772598378825,0.735759659093285,0.71401795453686,0.705066636694629,0.699932156189364,0.70356961529655,0.710037712463407,
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.5668792843,2.57473362204677,2.5769065260562,2.57132433837216,2.55473555620772,2.52635615363534,2.50370957157556,2.4705287346601,2.43205153626762,2.3944268973102,2.36075609068341,2.34742974190506,2.33600291477621,2.32278246807198,2.303043908125,2.27586188841703,2.26101845787304,2.23919656477835,2.21637364776329,
"Population ages 65 and above, total",SP.POP.65UP.TO,420852,436308,451459,465962,479221,490962,504495,516473,527649,539088,551384,568563,586522,604290,620481,634610,652134,667656,682859,
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.31370399014398,2.30815490770491,2.29359827026043,2.27131351729401,2.24233457912847,2.20760062534558,2.18974776925172,2.16493760104459,2.13634962512095,2.10745074306299,2.08014752784958,2.07634784444431,2.07169551470844,2.06366687419994,2.04902800227688,2.02760534147608,2.0229624175201,2.01153015946024,1.99722349415499,
"Population ages 65 and above, male",SP.POP.65UP.MA.IN,188683,194438,199650,204401,208767,212801,218705,224165,229404,234707,240242,248639,257171,265466,273002,279632,288603,296687,304406,
"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.81747689266786,2.83822833100303,2.85661938420296,2.8671591994725,2.8625027863376,2.84010817087044,2.8122876633808,2.77039565842923,2.72190587894727,2.67537936402114,2.63524850152071,2.61253702891334,2.5944487372476,2.57625750029368,2.55154742318875,2.51881483297969,2.4940575778463,2.46211535462205,2.43095469211594,
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,232173,241868,251804,261549,270446,278164,285791,292305,298253,304385,311143,319927,329349,338829,347477,354980,363537,370978,378459,
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1.0910336321718,1.07004332167848,1.04863335892498,1.02879775874457,1.01187379246018,0.998218781738,0.977414174262692,0.958438683682398,0.943721113452715,0.935879558337471,0.935391886435835,0.932773625733455,0.936323463260153,0.941619044013507,0.943198958110669,0.939407641544156,0.924987496806297,0.907452066092001,0.892677006840356,
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1.3025489602641,1.29967923424584,1.30512986464173,1.31026004043965,1.30374138722673,1.28139966228765,1.23309609854141,1.17582944587348,1.12070210137234,1.08040904382556,1.05948435542734,1.04299943262347,1.04217829427259,1.04749207058858,1.04731983506,1.03732057932315,1.0114620982652,0.979422530023329,0.951977630481578,
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,1.46316029429239,1.4346818918138,1.40968122487912,1.3902948715014,1.37945782777953,1.37787658450101,1.37250092113484,1.3766111601512,1.38325760630575,1.38434822272764,1.37714248259869,1.35327249903631,1.32554324499547,1.30145825483463,1.29021019120519,1.29553940166674,1.30303781169051,1.31983042742516,1.34419546055269,
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,1.79547059156178,1.7303748799402,1.65157171129544,1.57322191327016,1.51283578146476,1.47741495062248,1.44924954918829,1.4429979281624,1.44542927925387,1.44055711104558,1.42216843101998,1.38309871208466,1.33636375739077,1.29518852097231,1.27669526669474,1.28794613207451,1.31395671840675,1.36077438451762,1.41825120847916,
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,1.88429971775664,1.8798051937106,1.88811445084089,1.90016003570079,1.90426639364864,1.89547765592922,1.86368606122743,1.82517668919506,1.7901999696409,1.7715616669106,1.77435349416245,1.780585668733,1.80033885547021,1.83064865509036,1.86880492555703,1.91227129329305,1.94943978332237,1.99651929692483,2.03900427117903,
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,1.94036545056112,1.90363649911785,1.89618429553629,1.90078418282362,1.89524937112916,1.8698947757913,1.81795817352991,1.75387782413454,1.69503899883787,1.66472346385533,1.67292709306452,1.70099452581269,1.75732192523412,1.82809667133896,1.89629604608804,1.95282299127746,1.99340332311869,2.03008471904669,2.059007235716,
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,2.4791603796386,2.4438630866868,2.39797910614116,2.35443162879718,2.33001211997269,2.33194356121239,2.34160485718405,2.36809878756154,2.40698333881225,2.45404287147089,2.50562004877015,2.55034228478014,2.60654645825788,2.65571583391254,2.67408954772204,2.65284988069242,2.5880962586449,2.4932134154804,2.39544652516534,
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,2.3658636449576,2.30458489085926,2.22651678917905,2.15340867671135,2.11422957474296,2.12126973145354,2.15522683270642,2.2240219429022,2.31078130370177,2.39430126660494,2.46290115076095,2.5086486541221,2.54957058532942,2.58031012048752,2.59432814043765,2.59019710020538,2.56346559000206,2.51989553640463,2.47702900401379,
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,2.96571963842144,2.98271904964388,3.02120828801758,3.07562570269807,3.1393994491234,3.20644184794392,3.26482226102558,3.33497837621712,3.39407326974063,3.41273824841677,3.37989122609147,3.29250768111498,3.16599149059028,3.0348106286781,2.94452924039111,2.91630689733283,2.92889809625514,2.9910736895717,3.07730381979835,
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,2.62567930083498,2.67207788969343,2.76138134298684,2.87241010563749,2.97756556334401,3.06098527955611,3.12107830716206,3.17193977454313,3.20730830537533,3.22069495612522,3.21134042010778,3.17017964310481,3.10998424262466,3.05137969667696,3.02214999906376,3.0350519572081,3.07786149228804,3.15585583492894,3.24851840223305,
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,4.00716417705465,4.08734231580927,4.18110385203884,4.25983655067838,4.28603865931878,4.24483918721672,4.13564511478141,3.97422723225237,3.80448923602154,3.68456165523781,3.64160457836452,3.64968203290504,3.71951557459138,3.81889458644455,3.90542626675537,3.95801132950733,3.97767334403216,3.97652935705032,3.96574238726096,
Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,17.55309,18.7407,18.09081,18.40073,,,,,,,,
"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,,,,,,,,,11.5325,12.74171,10.73592,8.15803,,,,,,,,
"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,214136,246024,215471,170490,,,,,,,,
"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,,,,,,,,,23.50038,24.66588,25.35356,28.51859,,,,,,,,
"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,441734,482195,515304,603347,,,,,,,,
"Children out of school, primary",SE.PRM.UNER,,,,,,,,,655870,728219,730775,773837,,,,,,,,
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,88.4675,87.25829,89.26408,91.84197,,,,,,,,
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,76.49962,75.33412,74.64644,71.48141,,,,,,,,
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,82.44691,81.2593,81.90919,81.59927,,,,,,,,
"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,,,,,,,,40.00046,,,,36.81257,,,,49.10104,47.17877,,,
"Primary education, teachers",SE.PRM.TCHR,,,,,,,,86769,,,93734,118158,,,,112352,95827,,,
Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,47.48642,,,,,,,,
"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS,,,,,,,,,,,,45.1762,,,,,,,,
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,,,,,,,,,,,,51.45182,,,,,,,,
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,,,,,,,,,9.53784,11.08938,10.84637,10.29738,,,,,,,,
"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,9.39781,10.60047,10.16262,8.62112,,,,,,,,
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,,,,,,,,,9.70141,11.66698,11.69095,12.92893,,,,,,,,
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,,,,,,,,,27.59042,31.87285,,,,,,,,,,
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,29.20809,36.55027,,,,,,,,,,
"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,,,,,,,,,25.73058,26.86385,,,,,,,,,,
"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,,,,,,,,,40.10215,44.79809,,,,,,,,,,
